model,metric,mean,std,ci_low,ci_high,n_seeds,ci_level,method
RGCN,hits10,0.3520128455098061,0.006912468175395136,0.3473563482050694,0.35830943915586644,5,0.95,bootstrap
RGCN,ari,0.20992005847958112,0.02841132925174646,0.19584014057476265,0.24725708876773536,5,0.95,bootstrap
baseline/FastText,auc,,,,,0,0.95,bootstrap
baseline/FastText,ap,,,,,0,0.95,bootstrap
baseline/FastText,f1,,,,,0,0.95,bootstrap
baseline/FastText,precision,,,,,0,0.95,bootstrap
baseline/FastText,recall,,,,,0,0.95,bootstrap
baseline/FastText,mrr,,,,,0,0.95,bootstrap
baseline/FastText,hits1,,,,,0,0.95,bootstrap
baseline/FastText,hits5,,,,,0,0.95,bootstrap
baseline/FastText,hits10,,,,,0,0.95,bootstrap
baseline/FastText,ari,0.08687155378241233,0.0,0.08687155378241233,0.08687155378241233,5,0.95,bootstrap
baseline/Node2Vec,auc,,,,,0,0.95,bootstrap
baseline/Node2Vec,ap,,,,,0,0.95,bootstrap
baseline/Node2Vec,f1,,,,,0,0.95,bootstrap
baseline/Node2Vec,precision,,,,,0,0.95,bootstrap
baseline/Node2Vec,recall,,,,,0,0.95,bootstrap
baseline/Node2Vec,mrr,,,,,0,0.95,bootstrap
baseline/Node2Vec,hits1,,,,,0,0.95,bootstrap
baseline/Node2Vec,hits5,,,,,0,0.95,bootstrap
baseline/Node2Vec,hits10,,,,,0,0.95,bootstrap
baseline/Node2Vec,ari,0.004363891111181332,0.0,0.004363891111181332,0.004363891111181332,5,0.95,bootstrap
baseline/XLM-R,auc,,,,,0,0.95,bootstrap
baseline/XLM-R,ap,,,,,0,0.95,bootstrap
baseline/XLM-R,f1,,,,,0,0.95,bootstrap
baseline/XLM-R,precision,,,,,0,0.95,bootstrap
baseline/XLM-R,recall,,,,,0,0.95,bootstrap
baseline/XLM-R,mrr,,,,,0,0.95,bootstrap
baseline/XLM-R,hits1,,,,,0,0.95,bootstrap
baseline/XLM-R,hits5,,,,,0,0.95,bootstrap
baseline/XLM-R,hits10,,,,,0,0.95,bootstrap
baseline/XLM-R,ari,0.02675619197110641,3.878959614448864e-18,0.02675619197110641,0.02675619197110641,5,0.95,bootstrap
